id,market_cap,total_volume,fully_diluted_valuation,market_cap_rank,volume_gate,up_depth_gate,down_depth_gate,spread_pct_gate,volume_binance,up_depth_binance,down_depth_binance,spread_pct_binance,volume_bybit,up_depth_bybit,down_depth_bybit,spread_pct_bybit,volume_okx,up_depth_okx,down_depth_okx,spread_pct_okx,volume_kucoin,up_depth_kucoin,down_depth_kucoin,spread_pct_kucoin,volume_coinbase,up_depth_coinbase,down_depth_coinbase,spread_pct_coinbase
kusama,172641737,16009010.0,192249278.0,181,1449.4324455928,16727.1665885288,23339.6571175408,0.309949,91599.882,34450.6179152016,68207.0721821219,0.052029,1879.645,2580.09437622669,5659.59000669179,0.351743,18025.625071,24280.2601322317,41455.2133178518,0.103734,1280.43,10015.9093365158,16802.5771693172,0.010517,7022.9606,19021.027789,21270.231955,0.154719
osmosis,171815931,9147402.0,275392824.0,182,108910.00935136,4574.02237668633,8821.073374258,0.540541,5433734.04,67592.5508457485,75758.792571052,0.108617,,,,,,,,,218745.3649,615.631429627241,1257.75492484506,0.180701,570274.05,14910.740605,10057.794316,0.395683
osmosis,171815931,9147402.0,275392824.0,182,108910.00935136,4574.02237668633,8821.073374258,0.540541,5442056.63,67592.5508457485,75758.792571052,0.108617,,,,,,,,,218745.3649,615.631429627241,1257.75492484506,0.180701,570274.05,14910.740605,10057.794316,0.395683
ontology,171036711,11461315.0,191084780.0,185,244756.72496631,13607.0420161048,22596.0963224659,0.15528,9500206.0,52654.3238742619,65633.076293495,0.104221,,,,,2236839.491134,18779.2673285279,34458.2024823863,0.051975,169738.6883,2637.55877124348,4888.17624228639,0.010356,,,,
siacoin,169574351,9760367.0,,186,10786190.724085,5430.41435279117,9333.5064838083,0.030331,182158633.0,19797.5208735428,40715.2045539387,0.121249,3386450.99,1143.91691216851,2461.15071929376,0.544959,26047700.96491,2914.84574259461,5681.75301569666,0.693189,,,,,,,,
tominet,169572848,32284487.0,245397305.0,187,6701590.494159,171816.899463217,277221.232553382,0.073047,,,,,1006548.03,3120.27638684357,14995.9708056358,0.048662,,,,,2161367.53469627,1924.96789795939,29846.8174518869,0.063006,,,,
link,163163192,371922.0,22389264144.0,190,1186.02544574,2971.03685769828,5069.49069337727,0.081121,,,,,,,,,,,,,,,,,,,,
link,163163192,371922.0,22389264144.0,190,1187.56624574,2795.23331939717,4864.89820776339,0.152919,,,,,,,,,,,,,,,,,,,,
canto,142694276,6868767.0,262414225.0,207,133356.7194834,91.8354609066997,379.524534830526,0.017749,,,,,,,,,,,,,,,,,,,,
gains-network,142457801,12797039.0,142457801.0,208,1106052.312728,250232.467537322,532377.35275225,0.12451,574617.51,50506.6590150635,23865.920567772,0.141777,6283.96,481.290688886229,1445.57256309723,0.555987,,,,,10447.9167,6013.70480924234,7690.66895317129,0.188147,,,,
harmony,136457124,16817093.0,145889791.0,213,7253905.114529,9260.49908206538,9954.98570624028,0.1606,382868098.7,25176.2303370463,35607.9621548529,0.090009,1309514.74,1049.50468712787,3257.86924244079,0.359389,9554340.465642,3189.88341472428,5706.09673381669,0.178891,41581392.1508,13806.3767667025,15393.9819208234,0.071327,,,,
wrapped-centrifuge,132430461,215165.0,,215,,,,,,,,,,,,,240601.402051,15617.0831863618,7091.89651178288,0.216802,,,,,165774.19,3038.04004,2771.07654,0.27027
